,lyrics_title,lyrics
0,Certified Lover Boy* Lyrics, verse  put my feelings on ice always been a gem certified lover boy  somehow still heartless heart is only gettin  colder
1,Like I’m Supposed To/Do Things Lyrics, verse  hands are tied someone s in my ear from the other side tellin  me that i should pay you no mind wanted you to not be with me all night wanted you to not stay with me all night i know  you know  who that person is to me doesn t really change things   chorus  i know you re scared of dating  falling for me shorty  surely you know me right here for you always you know  i don t ever change right here for you always you know i don t ever change right here for you   bridge  in mind you make me want to do things  love you like i m supposed to you make me want to love you like i m supposed to you make me want to love you like i m supposed to  remind you ayy   chorus  i know you re scared of dating  falling for me shorty  by now you know me right here for you always you know  i don t ever change right here for you always you know i don t ever change right here for you
2,Not Around Lyrics, intro  yeah  we back wassup ladies  swishahouse  baby wassup to all the ladies on the northside  southside  eastside  westside  wassup in bay city  wassup to all the ladies in louisiana  wassup to all the ladies in dallas  austin  san antonio  marshall  prairie view  it s going down wharton county  texas city  h town  baby tsu ladies   chorus  she moved out of state  and shit done went left  she s seekin  forgiveness she used to dance  but she want a loan and start up a business her daddy is not around  her momma is not around i watch her climb to the top of the pole and then get to slidin  down i make it rain in this bitch  i make it snow in this bitch she tryna get out of the mix shawty is goin  legit  shawty is goin  legit me  i m supportin  this shit  this is a story came from my life and i m just recordin  this shit   verse 1  i ma just give it to you direct  instead of me throwin  this shit you know you important and shit you know i m supportin  this shit we used to do pornos when you would come over but now you got morals and shit i got like four on the wrist and an adorable kid i got the drac  in the studio and i don t just mean that i m in this bitch please make the most of this shit don t just come close to some shit i give you this bread  you run me some head and then you go glow up a bit   chorus  she moved out of state  and shit done went left  she s seekin  forgiveness she used to dance  but she want a loan and start up a business her daddy is not around  her momma is not around i watch her climb to the top of the pole and then get to sli  i make it rain in this bitch  i make it snow in this bitch she tryna get out of the mix shawty is goin  legit  shawty is goin  legit me  i m supportin  this shit  this is a story came from my life and i m just recordin  this shit   verse 2  her daddy is not around  momma is definitely not around she got a business plan  but she just ain t had time to write it down stay with her sister now  she got a man  but he out of town soon as he out of town  they hop in his whip and they ride around i watch her climb to the top of the pole and then get to slidin   slidin  thought about trappin  a player before  but that just ain t right  right look in the mirror if you wanna look at some things on the bright side you popped a 325  you feelin  too good to worry tonight   chorus  she moved out of state  and shit done went left  she s seekin  forgiveness she used to dance  but she want a loan and start up a business her daddy is not around  her momma is not around i watch her climb to the top of the pole and then get to sli  i make it rain in this bitch  i make it snow in this bitch she tryna get out of the mix shawty is goin  legit  shawty is goin  legit me  i m supportin  this shit  this is a story came for my life and i m just recordin  this shit
3,In the Cut (Ft. Roddy Ricch) Lyrics, intro  drake  ayy  yeah pipe this shit up and i turn this shit up when i was down  i was down now them diamonds for fun like damn ayy  yeah   verse 1  drake  trendsetter  ben frank getter  yeah  whip whatever  whip whatever i buy diamonds when i m under pressure  yeah  when i apply it  shit don t ever let up  yeah look  i m in the cut  the boy in the cut jump in the whip where the ceilings go up  we up all of this grindin  for what  it s funny when you niggas thought it was luck i cannot give you a pass if you play with my money and family and friends and i compete with myself while you niggas competin  with trends your foreign is used  i looked up the vin i know the truth  no use in pretendin  with him   chorus  drake  still in the cut  the boy in the cut hop in the whip where the ceilings go up  we up   verse 2  roddy ricch  and i m way up at the top of the loft gotta stay up  ain t no knockin  me off pull up smooth  a i  with the cross  haha  countin  up wins on wins on wins  for all of my dawgs i lost i might call pharrell  get the new chanel thugger got the ysl  huh i remember when the feds did the sweep  i pray my dawgs didn t tell  huh cruisin  down biscayne i was in miami  she gave me top with the top off cartier wrist gang  got her a audemar she got the head  knock your socks off you ain t gettin  money  you ain t fuckin  with me you ain t in your bitch top five i might pull up in the six with drizzy i was just in houston  fuckin  with the mob ties we don t never ever play two sides hang out the phantom  it s suicide they ridin  my wave like a rogue tide my necklace is wet like the poolside   chorus  drake  drake   roddy ricch  still in the cut  the boy in the cut  yeah hop in the whip where the ceilings go up  we up
4,Zodiac Sign (Ft. Jessie Reyez) Lyrics, verse 1  drake  you ask how many girls i been with in my life i tell ya   i stopped keeping count when i was 25  i ask you the same thing  you tell me   seven guys  but we both know that s a lie  cause if we countin  head and if we countin  drunken nights then that number that you gave just might be off by eight or nine but it s still nowhere close to mine marcus prolly had to bring me straps like thirty times he took over like four years ago when courtne had resigned i been talkin  sex with courtne since like 2005 we been friends since junior high tough to enjoy the company and never cross the line she s like   is it more than a hundred  with everyone combined   and i say   yeah  that s bein  kind  at one point or another they all felt like they were mine i had a lot of backs that i would never talk behind i m not really into threesomes  i like one thing at a time i like when it s you and i plus i always feel like if somebody outperforms you that could jeopardize your pride and i m not into choosin  sides unless you  bout to sleep and you askin  me what s my side it s the right at home  but this a hotel so you can decide lessons that i learned before hittin  my prime confessions that i blame on the zodiac sign things you need to hear  fore we say our goodbyes free myself of it all  watch a scorpio rise yeah   verse 2  jessie reyez  you say you wanna know but you don t though why you wanna know who i cropped out of photos  and lately  papi  you been acting tonto what you think before you  i was only movin  dolo but i m honest  til i die  so i won t lie and i prolly got some numbers that you won t like and you re prolly gonna hate it but i much rather be hated for the truth than for the wrong guy if he ain t done you can t be this good without some badness what  you think i fuck this good without some practice  and if it s lov and you re my mvp then why we talkin  about practice  like you want me to lie why would i jeopardize my worth  just to value your pride  confessions that i blame on the zodiac sign  cause then i switch up and i blame it on my gemini might be jealousy   cause you just want me tradin  lives jealousy   cause i can get the girls and get the guys and if i m honest  this whole convo s just a waste of time  cause legacy should be my focus  not here playin  wife
5,Laugh Now Cry Later (Ft. Lil Durk) Lyrics, intro  drake  woah  woah yeah   chorus  drake  sometimes we laugh and sometimes we cry  but i guess you know now  baby i took a half and she took the whole thing  slow down  baby we took a trip  now we on your block and it s like a ghost town  baby where do these niggas be at when they say they doin  all this and all that    verse 1  drake  tired of beefin  you bums  you can t even pay me enough to react been wakin  up in the crib and sometimes i don t even know where i m at please don t play that nigga songs in this party  i can t even listen to that anytime that i ran into somebody  it must be a victory lap  ayy shawty  come sit on my lap  ayy  they sayin  drizzy just snap distance between us is not like a store  this isn t a closeable gap  ayy i ve seen some niggas attack and don t end up makin  it back   pre chorus  drake  i know that they at the crib goin  crazy  down bad what they had didn t last  damn  baby   chorus  drake  sometimes we laugh and sometimes we cry  but i guess you know now  baby i took a half and she took the whole thing  slow down  baby we took a trip  now we on your block and it s like a ghost town  baby where do these niggas be at when they say they doin  all this and all that    verse 2  lil durk   drake  i m in the trenches  relax can you not play that lil  boy in the club   cause we do not listen to rats we in atlanta  i buy her a wig  she tellin  me tae is the best point at the nigga who act like a killer  but you only one from the  net i m like dababy  i m not just a rapper  you play with me  you gon  get stretched ooh oh bring drake to the hood  surround drake around dracs even though i got a case  i ma do what it take and i never been embraced and the money s hard to make so i bet they on they face right now   pre chorus  drake  i know that they at the crib goin  crazy  down bad what they had didn t last  damn  baby   chorus  drake  sometimes we laugh and sometimes we cry  but i guess you know now  baby i took a half and she took the whole thing  slow down  baby we took a trip  now we on your block and it s like a ghost town  baby where do these niggas be at when they say they doin  all this and all that    verse 3  drake  when he tell the story  that s not how it went know they be lyin   a hundred percent moved out the ritz and forgot  bout the bent  valet just called me to tell me come get it knocked that boy off and i don t want no credit if it was me  they wouldn t regret it left me for dead and now they wan  dead it  yeah heart is still beatin   my niggas still eatin  backyard  it look like the garden of eden pillow talk with  em  she spillin  the tea and then shawty came back and said she didn t mean it it s hard to believe it   pre chorus  drake  i know that they at the crib goin  crazy  down bad what they had didn t last  damn  baby   chorus  drake  sometimes we laugh and sometimes we cry  but i guess you know now  baby i took a half and she took the whole thing  slow down  baby we took a trip  now we on your block and it s like a ghost town  baby where do these niggas be at when they say they doin  all this and all that 
6,Lie To Me Lyrics, intro  pimp c  man  get the fuck away from us  we don t want nothin  but money we some family men  we gettin  this paper know what i m talkin   bout  and i had to put that out there  bun because a lot of niggas doin  lot of fugazi shit out here  man   chorus  love me  save me  tell me  try me all you do is lie to me takin  me for granted  i could tell all you do is lie to me lies don t excite me  i m lonely need more than a homie takin  me for granted  i could tell   verse  all you do is lie to me and dub me  you never love me any confidence i came with  you take it from me i just wanna get beside you and make you love me i just can not take the silence  you keep ignorin  me see you makin  all this time for more important things we was s posed to catch a vibe the other night busy now  but you was down that other time why you always lead me on and give me signs  i just wanna get beside and make you mine i just wanna come inside and reunite got me waitin  outside  hah    chorus  love me  save me  tell me  try me all you do is lie to me takin  me for granted  i could tell all you do is lie to me lies don t excite me  i m lonely need more than a homie takin  me for granted  i could tell   outro  diddy  uhm  you was just so in your pocket  uhm cats used to tell me when they used to come to my house in miami and shit that  that  that they felt a feelin  of like they felt a lil  fucked up in they stomach but  they was inspired  cause they knew they  they  they had somethin  to see the dream for  you know  i done seen a lot of shit  i ain t never seen a  a young nigga as consistent as you that has affected the world in such a positive way since  you know  michael jackson and then  when you ve finally got the crib  all you do is lie to me  you did it like  not even none of us did it  you feel me  uhm nah  i mean i did it like that  i ain t gon  lie  i ain t gon  lie to you i did it like that  but  i ain t never been affected by another nigga crib in the way that did it to inspire me how cats told me that he d been inspired  all you do is lie to me  and felt that feelin  in they gut  like  i gotta work harder   need more than a homie  well i mean workin  harder just to compete  bro  for real  for real it s either you fuckin  in the game or you re out the game nigga  i m back in this motherfucker  let s get some money it s over  nigga  you have arrived  top five  end of discussion may god bless you  inshallah  you know what i m sayin   this your brother  diddy  take that and thank you for the inspiration  jheeze
7,Intoxicated* Lyrics, chorus  just hung up the phone and i could already tell that you re comin  home intoxicated  ooh so you better take your time with me  cause i remember last time you wouldn t make love to me think you fell fast asleep  i hope you niggas sleep  wouldn t even talk to me now   verse  say  say i m so crazy  baby i wanted you to race my mind i got the keys please  for me since you re comin  home intoxicated  oh for me  please i wanted you to erase my mind   open verse 
8,Need Me (Lotta 42) Lyrics, intro  previously on ready to die   chorus  never had a lot  this is all i need people never care  til it s r i p niggas turned they back on me for no good reason loyalty is priceless and it s all i need can t burn a bridge just to light my way lotta 42 on the flights i m takin  pourin  out my soul and it might sound crazy lotta fallin  outs help me build foundation never had a lot  this is all i need people never care  til it s r i p niggas turned they back on me for no good reason never had a lot  this is all i need   verse 1  lost individuals is all i see grab the top spot like pardon my reach woke up one day and it was all on me if it comes down  it s gon  fall on me lotta 42 on the flights i m takin  long way down from the heights i m chasin  just touched down  i was lights out in vegas girls checkin  in  cause my lifestyle dangerous hard to tell people that i m all out of favors call me for songs or they call me for paper turnin  off my phone for the night now  baby pourin  out my soul and it might sound crazy some of my niggas don t love me we should sit down before shit turns ugly we should sit down since you said things about me   chorus  never had a lot  this is all i need people never care  til it s r i p niggas turned they back on me for no good reason loyalty is priceless and it s all i need can t burn a bridge just to light my way lotta 42 on the flights i m takin  pourin  out my soul and it might sound crazy lotta fallin  outs help me build foundation never had a lot  this is all i need people never care  til it s r i p niggas turned they back on me for no good reason   verse 2  you should slide through and get your back broke used to be involved with me with no emotion i was on the way to the next show you was on the phone and you were so open heard you said you re over me  is that so  you don t ever filter girl and that s okay coulda held on but you let it go sayin  to yourself that it s better this way funny thing is that you re going to need me and i know you should slide through and get your back broke funny thing is that you re going to need me and i know you should slide through and get your back broke feelings i ve been stackin  like a bankroll i should probably find a way to let it go wonder what it was that turned you this cold said you left me jaded and i wasn t joking miss the way it was a couple years ago back when we was young and now you ve outgrown me hard to just accept i was a steppin  stone way that people talk about you i should ve known you re going to need me and i know you should slide through and get your back broke funny thing is that you re going to need me and i know you should slide through and get your back broke
9,Deep Pockets Lyrics, intro  for my nigga hush yeah  look   verse 1  dressed in fatigues  i rep the east with my trustees smokin  on crushed leaves they turn they back on everything we built  then they must bleed i ve seen splatter hit the snow when the blood freeze straps over territory they know we must keep get home and white air forces get brushed clean back when my mama would interrupt sleep to tell me hurry up  cause the bus leaves summertime heatwaves  i used to just cut sleeves my shorty really love me  man  she want me to cut keys i can t do that normal type of life  is it just me  niggas steady try to ride the wave  but it s rough seas i m losin  enough sleep dealin  with envy and the news that they sent for me got the block in a frenzy it s on meech like it s trendy runnin  round from laurier to mackenzie when the city s empty  yeah early twenties  but i want fifties  hundreds  not pennies i need plenty got me ready to flip the f out like fendi whatever s in me  it s takin  over i gotta bust it down  break it open until somebody starts takin  notice  then we rollin    chorus  yeah  then we rollin   then we rollin  deep pockets on a nigga  i can t find my phone in now we rollin  yeah  then we rollin   then we rollin  deep pockets on a nigga  i can t find my phone in now we rollin    verse 2  look back when big apple sold dreams  i stuck to my own thing back when the house that i own now was my home screen before i d ever hit the road and feel like the home team runnin  missions pyramid schemes just like the egyptians back when hotlines were still flippin  now i m seein  money off of hotlines blingin  but it feels different transitions  plans switchin   ambition mindin  my business  buildin  a business  et cetera inspired by a few  but my mind really drives itself like tesla i always had a little somethin  extra back when corey was our sole investor and the car could get from a to b  but won t impress ya look  i ain t no baller still need my accounts longer like the way my nephew s gettin  taller my soundtrack is the second carter  dreamin  of acceptin  offers and easin  tensions keepin  family out of east detention and out of pine hill funeral center spots we got no business enterin  back when jill scott was the apple of my afrocentric eye i had to find a way to get someone s attention   chorus  then we rollin   then we rollin  deep pockets on a nigga  i can t find my phone in now we rollin  yeah  then we rollin   then we rollin  deep pockets on a nigga  i can t find my phone in now we rollin 
